theta,rc,rho,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20
0.7655945909417536,6.045169692964696,0.0,4.122658807266704,2.1534991245540396,0.8095019747558928,-0.20144646166558355,-1.0436738929400384,-1.8210568825708031,-2.588371252027807,-3.3541980626533787,-4.119795553889984,-4.885390369216597,-5.650984960158345,-6.416579551100108,-7.182174142041856,-7.947768732983619,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
0.14359770131097255,5.484821916737729,0.0,4.590256338706287,3.677313633255351,2.8912355531681295,2.2309189158402645,1.6929633876425714,1.2410969934210085,0.8784240807080902,0.5553586880500678,0.2672959576069272,0.035415832370972726,-0.18549233122487763,-0.402057956701531,-0.6064590645159049,-0.77678436553398,-0.9418361989407434,-1.106856493872301,-1.271634202039668,-1.4345459880998184,-1.5831055265331937,-1.7419867573494558,-8.0
0.4617664125827947,8.18341112690944,0.0,6.2253699730888545,4.22736607097134,2.6579777864531504,1.4975437632458077,0.6302423609651044,-0.03609100773249396,-0.6091333812161841,-1.1318202237596646,-1.6027120457070136,-2.071246813341246,-2.534271609439068,-2.9966841059769775,-3.45861621108767,-3.920412794045604,-4.382180985478962,-4.843947543054784,-5.305714048042295,-5.7674804606250865,-6.229246873207878,-6.691013285790679,-8.0
0.2150636208565499,8.20888389082083,0.0,6.803855685219116,5.370153360961274,4.126641394644734,3.076568107961305,2.2190423331200377,1.5436965358060133,1.002182326141864,0.5518563879095975,0.17423797088446003,-0.15127219258621993,-0.4606601315021963,-0.72488575290544,-0.9718912349605976,-1.217580752118455,-1.4531481671793691,-1.6724836539591819,-1.8918182205247274,-2.1111055396355383,-2.327966986729017,-2.5451034769683445,-8.0
0.9233817277772104,7.405539795863705,0.0,5.0271038941398745,2.5981608289275853,0.9606000435563302,-0.22202023550407224,-1.2069641675366296,-2.137262727515214,-3.0613034444330753,-3.984694077459551,-4.908076022498423,-5.831457750275638,-6.75483947805284,-7.678221205830055,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
0.46336022108107666,13.258203171380135,0.0,-8.0,7.885755318660214,5.589839723269485,3.7197789629389266,2.279564919160091,1.2186833081535562,0.412137784304713,-0.24207490584251956,-0.776699626941467,-1.2841712081071632,-1.756638048958061,-2.2242080841570457,-2.6888300259976075,-3.152468844658256,-3.615967191761476,-4.07932937028471,-4.542690743052467,-5.006051109627002,-5.469411371712456,-5.93277159279353,-8.0
0.9503385404148521,13.490126682434804,0.0,-8.0,6.175866814746532,3.3759079834406,1.4505256500540364,0.12248469390144397,-0.9215707248816482,-1.8831584912813653,-2.834701076646086,-3.785119822930059,-4.735458887192056,-5.685797427606907,-6.636135968021762,-7.58647450843663,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
0.5517223747504674,9.495628265063484,0.0,7.172814080258361,4.8025952688426266,2.945984943070316,1.5966003096917163,0.6064909965159186,-0.16956878124132158,-0.7979930405729077,-1.3844626281701455,-1.9453089312669285,-2.4985342304984566,-3.050807089376231,-3.6026726773384308,-4.154397382809009,-4.706120297909595,-5.257842780096194,-5.809565154846658,-6.36128752959713,-6.9130099043476,-7.464732279098056,-8.0,-8.0
0.588453495859705,5.647428484063836,0.0,3.9902895582571603,2.2947284601285194,1.0825773388695317,0.18443082921568615,-0.5456537489108292,-1.1910000152694278,-1.7909518401142808,-2.3813217275358847,-2.970528553830888,-3.5591408533841484,-4.147596835131922,-4.736050765833784,-5.324504348198127,-5.912957844057836,-6.501411339917533,-7.089864835777246,-7.678318331636944,-8.0,-8.0,-8.0,-8.0
0.5177372194774328,5.521678713158597,0.0,3.970503024085673,2.3848663183946375,1.23056438390064,0.36567907690892004,-0.33425635769518286,-0.9225698407058198,-1.4654263762864779,-1.991422153972628,-2.510569920330306,-3.028897200207975,-3.546797301360633,-4.064536707991962,-4.582274941438519,-5.100012317910316,-5.617749537387743,-6.135486756865185,-6.653223976342612,-7.1709611958200385,-7.6886984152974795,-8.0,-8.0
