beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.96,0.7,0.6,1.3,0.7,3100.0,-10142.524191045975,-9449.071599254567,-8595.792211624303,-7313.985472706228,-6624.987659581246,-5786.835162415447,-4333.972067646955,-3789.5740669405673,-3571.400374199757,-3417.037778862944,49,27
0.96,0.7,0.6,1.3,0.7,3100.0,-9774.509629291775,-8966.96578516346,-7772.733599746824,-7159.640594621168,-6433.0651796700795,-5544.43665050812,-3865.834663623197,-3644.945494077663,-3487.6670365331593,-3366.6344772464795,49,28
0.96,0.7,0.6,1.3,0.7,3100.0,-9308.11691453781,-8179.222421495908,-7612.446848046762,-6958.623650406659,-6163.203625460484,-5073.697730630876,-3719.594881282095,-3558.110658739917,-3436.3709156185864,-3365.9502361826494,49,29
0.96,0.7,0.6,1.3,0.7,3100.0,-9881.326033886595,-9703.036978052498,-9517.239453881328,-9331.819426437616,-9195.329992269302,-8551.243854044726,-8250.266313183442,-7921.015857041067,-7548.682517665922,-7107.13568383463,50,5
0.96,0.7,0.6,1.3,0.7,3100.0,-9915.720250306507,-9737.204673030521,-9558.188299361429,-9415.53938765244,-8811.28545676135,-8524.184912815233,-8216.030736981475,-7876.684884558927,-7492.486095720868,-7034.70560361887,50,6
0.96,0.7,0.6,1.3,0.7,3100.0,-9955.3522115895,-9781.974649176354,-9638.335319739104,-9067.996348555065,-8793.299387877503,-8498.205074830288,-8182.156689527978,-7832.362173265583,-7436.707385724244,-6962.178875113881,50,7
0.96,0.7,0.6,1.3,0.7,3100.0,-10004.368830328838,-9863.59560006269,-9322.076435738289,-9058.296933850745,-8775.804921352821,-8473.47379641375,-8148.0092117076665,-7787.974616712169,-7380.513963984929,-6888.984519788195,50,8
0.96,0.7,0.6,1.3,0.7,3100.0,-10087.927854698197,-9572.124918475687,-9319.642450390445,-9048.366425236993,-8757.990266124767,-8448.411259156586,-8113.804240269377,-7743.191818818156,-7323.636212875974,-6814.531280786219,50,9
0.96,0.7,0.6,1.3,0.7,3100.0,-9819.437209803935,-9576.820057582961,-9316.984717746427,-9037.930456386774,-8739.574152850948,-8422.794254075628,-8079.034223540645,-7697.963248561471,-7265.9795962057115,-6739.014200677049,50,10
0.96,0.7,0.6,1.3,0.7,3100.0,-9830.825268321361,-9580.982330975241,-9313.689043246664,-9026.57824273741,-8720.449672677601,-8396.24826917948,-8043.226106431351,-7651.63493245906,-7206.805352659218,-6661.441108836513,50,11
0.96,0.7,0.6,1.3,0.7,3100.0,-9841.682888559406,-9584.532997469969,-9309.733137380252,-9014.440568116821,-8702.320649698398,-8368.79714485406,-8006.885009140174,-7604.223516203581,-7146.519284245647,-6582.086811921216,50,12
0.96,0.7,0.6,1.3,0.7,3100.0,-9851.645426773523,-9587.127812823777,-9304.790913324377,-9001.028766230467,-8683.026229763154,-8340.488684390542,-7969.27245650329,-7556.05823281061,-7084.182751752526,-6499.690586033182,50,13
0.96,0.7,0.6,1.3,0.7,3100.0,-9860.403786395866,-9588.549559561827,-9298.817130226453,-8986.725360475826,-8661.939060628543,-8310.715362292109,-7929.792426082941,-7505.591338611495,-7019.573960256787,-6414.504348971394,50,14
0.96,0.7,0.6,1.3,0.7,3100.0,-9867.519223136449,-9588.266114914875,-9291.044915329137,-8970.552791891309,-8638.53295021279,-8278.90083350011,-7888.068086695509,-7452.939296359384,-6951.875383445513,-6325.136557812141,50,15
0.96,0.7,0.6,1.3,0.7,3100.0,-9872.5848766714,-9585.845272735187,-9280.963722825445,-8951.953277482793,-8612.165673798898,-8244.472050226294,-7843.555249613191,-7397.244185171585,-6880.170078621288,-6231.359986493936,50,16
