beta,gamma,kappa,kappa_1,rho,sigma,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,a_0,e_0
0.96,0.7,0.6,1.3,0.7,3100.0,-7530.501524440085,-7079.617213310848,-6609.672984069537,-6209.297246201591,-5624.079367941775,-5037.638072827954,-4460.101652277561,-2763.7642851425626,-2754.9756172424313,-2747.1026889180903,49,22
0.96,0.7,0.6,1.3,0.7,3100.0,-7529.994924180517,-7080.08521516177,-6615.0893273225265,-5852.271679273045,-5107.631738900601,-4368.293507526163,-2809.6610637491976,-2800.963946227621,-2793.2489154254326,-2786.559271411552,49,23
0.96,0.7,0.6,1.3,0.7,3100.0,-7537.964803009176,-7094.823248363899,-6419.936688538553,-5812.761132042692,-5204.806783163336,-4606.53640796445,-2847.4787642388837,-2839.8785814570474,-2833.374248260967,-2828.0075563418686,49,24
0.96,0.7,0.6,1.3,0.7,3100.0,-7561.252019139507,-6758.517434064278,-6046.383616005965,-5274.452132282917,-4512.7744993994165,-2894.5690933362057,-2887.0400515350266,-2880.6770203236374,-2875.526403548225,-2142.343604015943,49,25
0.96,0.7,0.6,1.3,0.7,3100.0,-7251.5210147149055,-6436.470596139164,-5611.470911507036,-4656.9960802653595,-3404.390676149307,-2934.782961404191,-2928.5165684012063,-2923.5370291554427,-2177.3660265678336,-1984.1243985366018,49,26
0.96,0.7,0.6,1.3,0.7,3100.0,-6924.24628402034,-6067.712557972383,-5110.965464492542,-3954.858046383155,-3452.4035844455084,-2976.943151397769,-2972.0890434129105,-2213.1849653752433,-2016.2719909276202,-1885.7628503675296,49,27
0.96,0.7,0.6,1.3,0.7,3100.0,-6589.8697807272065,-5641.721216145624,-4540.29970932026,-4011.489899190808,-3502.767880985903,-3021.2333392947694,-2249.850842965767,-2049.282610246257,-1916.1221955325382,-1784.779397001148,49,28
0.96,0.7,0.6,1.3,0.7,3100.0,-5990.88459399675,-4904.938123053095,-4323.797251381599,-3733.7651038274043,-3108.599686756746,-2287.4169177308795,-2083.2067511081186,-1947.3863618794785,-1813.3028980910676,-1786.0285552583518,49,29
0.96,0.7,0.6,1.3,0.7,3100.0,-7462.303254669237,-7165.6769423809765,-6850.664275188672,-6515.359215277813,-6157.919217813006,-5434.20056940414,-4979.117966322506,-4491.758541680469,-3969.309959322115,-3408.6321396566736,50,5
0.96,0.7,0.6,1.3,0.7,3100.0,-7459.723880629839,-7156.0301997317365,-6833.037890467747,-6489.028870747808,-5795.315706476205,-5358.664324757505,-4891.613246793964,-4391.59123423081,-3855.7480323293526,-3280.8824258914674,50,6
0.96,0.7,0.6,1.3,0.7,3100.0,-7462.412012192413,-7151.141373557705,-6819.921653524352,-6154.678671749193,-5735.507001596314,-5287.691580946693,-4808.894843780602,-4296.5210128183535,-3747.669244341319,-3159.052474457459,50,7
0.96,0.7,0.6,1.3,0.7,3100.0,-7467.688192157363,-7148.435407577636,-6510.002167185693,-6107.1244658414025,-5677.169027005095,-5218.002513446637,-4727.26065507106,-4202.302834087663,-3640.1649998225357,-3037.47647572441,50,8
0.96,0.7,0.6,1.3,0.7,3100.0,-7477.044946988887,-6864.080742441197,-6476.685155351554,-6063.692729788989,-5623.151673804712,-5152.916536901717,-4650.594038274206,-4113.494690753533,-3538.576914994727,-2922.346133888344,50,9
